epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,766.619,0.46335,0.29901,0.88245,0.95148,0.93957,0.96235,0.88119,0.44252,0.33537,0.74052,0.000280723,0.000280723,0.000280723
86,775.663,0.45852,0.29467,0.88176,0.94124,0.94446,0.96496,0.88562,0.4376,0.33181,0.73882,0.00026422,0.00026422,0.00026422
87,784.556,0.4496,0.29045,0.8788,0.94699,0.94446,0.96461,0.88459,0.44132,0.3329,0.74407,0.000247716,0.000247716,0.000247716
88,793.48,0.4538,0.29324,0.88398,0.93632,0.93903,0.96088,0.88427,0.4448,0.35554,0.75012,0.000231213,0.000231213,0.000231213
89,802.293,0.46031,0.29565,0.88164,0.93593,0.95079,0.96036,0.88117,0.44382,0.34673,0.75574,0.00021471,0.00021471,0.00021471
90,811.199,0.44864,0.29297,0.88108,0.94793,0.94297,0.95772,0.88299,0.43787,0.34434,0.74315,0.000198206,0.000198206,0.000198206
91,831.94,0.3833,0.2352,0.86423,0.95655,0.94661,0.95904,0.87686,0.44947,0.33628,0.75393,0.000181703,0.000181703,0.000181703
92,840.783,0.37482,0.227,0.86264,0.94724,0.95549,0.96515,0.88548,0.44491,0.33448,0.74903,0.0001652,0.0001652,0.0001652
93,850.043,0.36792,0.22053,0.86252,0.95523,0.95361,0.96343,0.89026,0.42484,0.33022,0.74034,0.000148696,0.000148696,0.000148696
94,858.733,0.37148,0.21912,0.85917,0.95092,0.94741,0.96251,0.88781,0.42566,0.33609,0.74454,0.000132193,0.000132193,0.000132193
95,867.735,0.36995,0.21943,0.86076,0.94452,0.95225,0.96232,0.88606,0.4503,0.3488,0.74721,0.00011569,0.00011569,0.00011569
96,876.434,0.36506,0.21885,0.85983,0.9496,0.94694,0.96293,0.88596,0.44009,0.34419,0.7462,9.91865e-05,9.91865e-05,9.91865e-05
97,885.341,0.36521,0.2174,0.8576,0.95335,0.94648,0.95964,0.88678,0.43713,0.33334,0.74915,8.26832e-05,8.26832e-05,8.26832e-05
98,894.606,0.35825,0.20915,0.85672,0.95477,0.94692,0.96095,0.89012,0.43798,0.3292,0.74471,6.61799e-05,6.61799e-05,6.61799e-05
99,903.467,0.35022,0.20407,0.85397,0.95819,0.9393,0.9641,0.89308,0.43088,0.32946,0.74194,4.96766e-05,4.96766e-05,4.96766e-05
100,912.425,0.35235,0.20851,0.85131,0.95107,0.9465,0.96447,0.89492,0.4332,0.32836,0.74265,3.31733e-05,3.31733e-05,3.31733e-05
